id_osm_rer,comune_osm,nome_via_osm
1,Agazzano,"Località Milione"
2,Agazzano,"Loc. Canile di Montebolzone"
3,Agazzano,"Piazza Europa"
4,Agazzano,"Piazza Libertà"
5,Agazzano,"Strada Agazzano-Pianello"
6,Agazzano,"Strada Amola"
7,Agazzano,"Strada Bissone"
8,Agazzano,"Strada Colombaie"
9,Agazzano,"Strada comunale Arcello"
10,Agazzano,"Strada della Polveriera"
11,Agazzano,"Strada di Montebolzone"
12,Agazzano,"Strada Misano"
13,Agazzano,"Strada Molino Vecchio"
14,Agazzano,"Strada Montebolzone"
15,Agazzano,"Strada Montecanino"
16,Agazzano,"Strada per Rezzanello"
17,Agazzano,"Strada Pilastrello"
18,Agazzano,"Strada Provinciale Cantone"
19,Agazzano,"Strada Provinciale della Caldarola"
20,Agazzano,"Strada Rivarossa"
21,Agazzano,"Strada Rivasso"
22,Agazzano,"Strada Sarturano"
23,Agazzano,"Strada secondaria"
24,Agazzano,"Strada Verdeto"
25,Agazzano,"Str. Monteraschino"
26,Agazzano,"Via 25 Aprile"
27,Agazzano,"Via A.Moro"
28,Agazzano,"Via Anguissola Scotti"
29,Agazzano,"Via Anna Ferrari"
30,Agazzano,"Via Cassinari"
31,Agazzano,"Via Cigala Fulgosi"
32,Agazzano,"Via Combattenti"
33,Agazzano,"Via Cremona"
34,Agazzano,"Via del Castello"
35,Agazzano,"Via del Mercato"
36,Agazzano,"Via Don Celli"
37,Agazzano,"Via Don S.Baldini"
38,Agazzano,"Via E. Burana"
39,Agazzano,"Via E.Morante"
40,Agazzano,"Via Ferrante Gonzaga"
41,Agazzano,"Via Gatti"
42,Agazzano,"Via G.Falcone"
43,Agazzano,"Via G.Puccini"
44,Agazzano,"Via G.Rossini"
45,Agazzano,"Via Guglielmo Marconi"
46,Agazzano,"Via Guidotti"
47,Agazzano,"Via G.Verdi"
48,Agazzano,"Via Kennedy"
49,Agazzano,"Viale Anguissola Scotti"
50,Agazzano,"Via Makallè"
51,Agazzano,"Via Mons.Repetti"
52,Agazzano,"Via Paolo Costa"
53,Agazzano,"Via Pertini"
54,Agazzano,"Via P.Neruda"
55,Agazzano,"Via Roma"
56,Agazzano,"Via Tidone"
57,Agazzano,"Via Zacconi"
58,Albareto,845
59,Albareto,845a
60,Albareto,847
61,Albareto,"Albareto-Buzzò"
62,Albareto,"Albareto-Passo dei Due Santi"
63,Albareto,AVML
64,Albareto,"Strada Provinciale 359 di Salsomaggiore e Bardi"
65,Albareto,"Strada Provinciale del Colle di Centocroci"
66,Albareto,T8
67,Albinea,"Anello di Cà del vento"
68,Albinea,"Piazza Caduti alleati di Villa Rossi"
69,Albinea,"Piazza Cavicchioni"
70,Albinea,"Piazzale Lavezza"
71,Albinea,"Scala Santa"
